Country,Measure Names,Measure Values
Belgium,Fossil fuel energy consumption (% of total),73.760667274
Belgium,Renewable energy consumption (% of total final energy consumption),8.945722404
France,Fossil fuel energy consumption (% of total),46.80343295
France,Renewable energy consumption (% of total final energy consumption),13.442313414
Germany,Fossil fuel energy consumption (% of total),79.595326315
Germany,Renewable energy consumption (% of total final energy consumption),13.502039511
Netherlands,Fossil fuel energy consumption (% of total),92.206664259
Netherlands,Renewable energy consumption (% of total final energy consumption),5.639251009
United Arab Emirates,Fossil fuel energy consumption (% of total),89.352523305
United Arab Emirates,Renewable energy consumption (% of total final energy consumption),0.135063331
United Kingdom,Fossil fuel energy consumption (% of total),81.80290849
United Kingdom,Renewable energy consumption (% of total final energy consumption),7.724086842
